created_at,entry_id,pm2_5,pm10,temp,trysnia,lageshtira,alarm_status
2019-09-24 23:27:50 CEST,188,6.4,18.3,22.6,99890,90.59,0
2019-09-24 23:28:44 CEST,189,6.4,17.8,22.6,99899,90.59,0
2019-09-24 23:29:38 CEST,190,6.3,17.4,22.6,99901,90.59,0
2019-09-24 23:30:32 CEST,191,6.2,17.1,22.6,99898,90.59,0
2019-09-24 23:31:26 CEST,192,6.2,17,22.6,99904,90.51,0
2019-09-24 23:32:20 CEST,193,6.1,17.1,22.6,99901,90.51,0
2019-09-24 23:33:14 CEST,194,6.1,17,22.7,99902,90.51,0
2019-09-24 23:34:08 CEST,195,6,16.7,22.7,99905,90.51,0
2019-09-24 23:35:02 CEST,196,6,15.9,22.7,99907,90.47,0
2019-09-24 23:35:56 CEST,197,6,16.4,22.7,99901,90.47,0
2019-09-24 23:36:50 CEST,198,6,16.2,22.6,99913,90.47,0
2019-09-24 23:37:45 CEST,199,6,16.1,22.6,99899,90.47,0
2019-09-24 23:38:39 CEST,200,6,16.4,22.6,99913,90.4,0
2019-09-24 23:39:33 CEST,201,6,16.2,22.5,99893,90.4,0
2019-09-24 23:40:27 CEST,202,6,16.1,22.5,99904,90.4,0
2019-09-24 23:41:21 CEST,203,6,15.6,22.5,99895,90.4,0
2019-09-24 23:42:14 CEST,204,6,15.6,22.5,99901,90.33,0
2019-09-24 23:43:08 CEST,205,6,16.3,22.5,99889,90.33,0
2019-09-24 23:44:02 CEST,206,6,16.3,22.4,99881,90.33,0
2019-09-24 23:44:56 CEST,207,6.1,17.7,22.5,99881,90.33,0
2019-09-24 23:45:50 CEST,208,6,17.2,22.5,99886,90.26,0
2019-09-24 23:46:44 CEST,209,6.1,17.9,22.5,99867,90.26,0
2019-09-24 23:47:38 CEST,210,6.1,18.5,22.5,99880,90.26,0
2019-09-24 23:48:32 CEST,211,6.1,18.4,22.4,99870,90.26,0
2019-09-24 23:49:26 CEST,212,6.1,17.7,22.5,99871,90.26,0
2019-09-24 23:50:20 CEST,213,6.1,17.7,22.4,99870,90.19,0
2019-09-24 23:51:14 CEST,214,6.1,17.2,22.4,99871,90.19,0
2019-09-24 23:52:08 CEST,215,6.2,17.1,22.3,99867,90.19,0
2019-09-24 23:53:02 CEST,216,6.2,17.8,22.3,99870,90.19,0
2019-09-24 23:53:56 CEST,217,6.3,17.6,22.3,99877,90.19,0
2019-09-24 23:54:49 CEST,218,6.2,18.4,22.3,99873,90.11,0
2019-09-24 23:55:43 CEST,219,6.2,18.7,22.3,99871,90.11,0
2019-09-24 23:56:37 CEST,220,6.2,18.9,22.2,99883,90.11,0
2019-09-24 23:57:31 CEST,221,6.2,19,22.2,99880,90.11,0
2019-09-24 23:58:25 CEST,222,6.2,19.5,22.2,99877,90.11,0
2019-09-24 23:59:19 CEST,223,6.2,20,22.2,99874,90.03,0
2019-09-25 00:00:16 CEST,224,6.3,20.5,22.3,99879,90.03,1
2019-09-25 00:01:13 CEST,225,6.3,20.7,22.5,99878,90.03,1
2019-09-25 00:02:10 CEST,226,6.2,20.9,22.4,99886,90.03,1
2019-09-25 00:03:07 CEST,227,6.1,20.5,22.3,99868,90.03,1
2019-09-25 00:04:01 CEST,228,6,19.6,22.3,99880,89.92,0
2019-09-25 00:04:55 CEST,229,6.1,19.7,22.3,99885,89.92,0
2019-09-25 00:05:48 CEST,230,6.1,19.8,22.3,99886,89.92,0
2019-09-25 00:06:42 CEST,231,6.1,20,22.3,99896,89.92,0
2019-09-25 00:07:36 CEST,232,6.1,19.9,22.3,99889,89.85,0
2019-09-25 00:08:33 CEST,233,6.1,21.1,22.2,99895,89.85,1
2019-09-25 00:09:30 CEST,234,6.1,21.6,22.2,99899,89.85,1
2019-09-25 00:10:27 CEST,235,6.1,21.5,22.3,99895,89.85,1
2019-09-25 00:11:24 CEST,236,6,22.7,22.3,99899,89.85,1
2019-09-25 00:12:21 CEST,237,6,21.5,22.3,99901,89.78,1
2019-09-25 00:13:18 CEST,238,6.1,22,22.3,99919,89.78,1
2019-09-25 00:14:15 CEST,239,6.1,21.6,22.2,99893,89.78,1
2019-09-25 00:15:12 CEST,240,6.2,21.2,22.2,99898,89.78,1
2019-09-25 00:16:09 CEST,241,6.3,21.2,22.2,99904,89.78,1
2019-09-25 00:17:06 CEST,242,6.2,21.2,22.1,99890,89.69,1
2019-09-25 00:18:03 CEST,243,6.2,21.1,22.1,99892,89.69,1
2019-09-25 00:18:59 CEST,244,6.3,21.3,22.1,99898,89.69,1
2019-09-25 00:19:56 CEST,245,6.2,20.9,22.2,99885,89.69,1
2019-09-25 00:20:53 CEST,246,6.1,20.3,22.1,99899,89.69,1
2019-09-25 00:21:50 CEST,247,6,20.2,22.1,99904,89.6,1
2019-09-25 00:22:47 CEST,248,6.1,21.2,22.1,99898,89.6,1
2019-09-25 00:23:44 CEST,249,6.1,20.1,22.1,99904,89.6,1
2019-09-25 00:24:38 CEST,250,6,19.7,22.2,99902,89.6,0
2019-09-25 00:25:32 CEST,251,6,19.1,22.1,99907,89.51,0
2019-09-25 00:26:26 CEST,252,6,18.6,22.1,99902,89.51,0
2019-09-25 00:27:20 CEST,253,6.1,18.7,22.1,99895,89.51,0
2019-09-25 00:28:14 CEST,254,6.1,18.3,22,99904,89.51,0
2019-09-25 00:29:08 CEST,255,6.1,19.3,22,99904,89.52,0
2019-09-25 00:30:01 CEST,256,6.2,19,22,99907,89.44,0
2019-09-25 00:30:55 CEST,257,6.2,18.9,22,99901,89.44,0
2019-09-25 00:31:49 CEST,258,6.2,18.7,22,99904,89.44,0
2019-09-25 00:32:43 CEST,259,6.3,18.9,22.1,99893,89.44,0
2019-09-25 00:33:37 CEST,260,6.3,18.9,22,99893,89.36,0
2019-09-25 00:34:31 CEST,261,6.3,19.8,22.1,99898,89.36,0
2019-09-25 00:35:25 CEST,262,6.3,19.8,22.1,99892,89.36,0
2019-09-25 00:36:19 CEST,263,6.3,19.1,22,99896,89.36,0
2019-09-25 00:37:13 CEST,264,6.4,19.1,22.1,99898,89.28,0
2019-09-25 00:38:07 CEST,265,6.3,18.6,22,99904,89.28,0
2019-09-25 00:39:01 CEST,266,6.5,17.7,22.1,99901,89.28,0
2019-09-25 00:39:55 CEST,267,6.5,18.3,22.1,99904,89.28,0
2019-09-25 00:40:48 CEST,268,6.5,18.3,22.1,99901,89.28,0
2019-09-25 00:41:42 CEST,269,6.4,18.1,22.2,99901,89.28,0
2019-09-25 00:42:36 CEST,270,6.3,17.8,22.2,99904,89.19,0
2019-09-25 00:43:30 CEST,271,6.3,18.6,22.2,99899,89.19,0
2019-09-25 00:44:24 CEST,272,6.3,18.5,22.2,99899,89.19,0
2019-09-25 00:45:18 CEST,273,6.3,19.3,22.3,99907,89.19,0
2019-09-25 00:46:12 CEST,274,6.2,19.2,22.3,99908,89.19,0
2019-09-25 00:47:06 CEST,275,6.2,19.7,22.3,99899,89.1,0
2019-09-25 00:48:00 CEST,276,6.2,19.7,22.3,99908,89.1,0
2019-09-25 00:48:57 CEST,277,6.2,20.1,22.2,99904,89.1,1
2019-09-25 00:49:51 CEST,278,6.3,18.4,22.2,99907,89.1,0
2019-09-25 00:50:45 CEST,279,6.3,18.5,22.3,99907,89.1,0
2019-09-25 00:51:39 CEST,280,6.3,18,22.3,99917,89.03,0
2019-09-25 00:52:33 CEST,281,6.4,18.3,22.3,99911,89.03,0
2019-09-25 00:53:26 CEST,282,6.4,18.3,22.3,99914,89.03,0
2019-09-25 00:54:20 CEST,283,6.4,17.6,22.3,99917,89.03,0
2019-09-25 00:55:14 CEST,284,6.3,17.5,22.3,99911,89.03,0
2019-09-25 00:56:08 CEST,285,6.3,16.3,22.4,99913,89.03,0
